number,state,value,datetime_start,datetime_complete,duration_sec,user_attrs_json,param_batch_size,param_epochs,param_gamma,param_hop_length,param_lr,param_margin,param_mel,param_n_fft
86,PRUNED,10.809214735031128,2026-01-23T21:46:09.003777,2026-01-23T21:47:39.660890,90.657113,{},8,536,16.013633534906727,320,0.00012242457289943264,0.3836647917328401,OFF,1024
87,PRUNED,22.37730860710144,2026-01-23T21:47:39.669653,2026-01-23T21:47:48.337576,8.667923,{},32,903,17.953092696424104,320,0.00027733495923896366,0.3735961745003756,OFF,1024
88,PRUNED,18.28313306172689,2026-01-23T21:47:48.345830,2026-01-23T21:47:59.496065,11.150235,{},16,950,16.936859588706678,320,0.008666381773156985,0.3699593003309409,ON,2048
89,PRUNED,19.77696285247803,2026-01-23T21:47:59.502792,2026-01-23T21:48:09.073853,9.571061,{},8,756,21.285332911140124,320,0.00022091126961714506,0.3545392187339676,OFF,1024
90,PRUNED,17.300849278767902,2026-01-23T21:48:09.082488,2026-01-23T21:48:16.779352,7.696864,{},8,985,19.223313263302252,320,0.0006942598266804337,0.3831156884048791,OFF,512
91,COMPLETE,6.352792382240295,2026-01-23T21:48:16.787736,2026-01-23T21:59:54.644515,697.856779,"{""best_epoch"": 305, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/21-48-16""}",8,955,16.83756153978289,320,0.0003353487992685691,0.38944717198819045,OFF,1024
92,PRUNED,11.872780132293702,2026-01-23T21:59:54.661547,2026-01-23T22:00:53.218744,58.557197,{},8,938,16.64501592995131,320,0.00033742756243587094,0.3935378762629795,OFF,1024
93,COMPLETE,8.527170554796855,2026-01-23T22:00:53.227782,2026-01-23T22:12:47.403003,714.175221,"{""best_epoch"": 164, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/22-00-53""}",8,969,17.73485631577116,320,0.0003912798373276571,0.3791572076336329,OFF,1024
94,PRUNED,17.004649607340493,2026-01-23T22:12:47.424259,2026-01-23T22:12:57.109031,9.684772,{},8,880,18.629421764071086,320,0.00019669193333444703,0.38770772901486267,OFF,1024
95,PRUNED,22.657083384195964,2026-01-23T22:12:57.117576,2026-01-23T22:13:11.462794,14.345218,{},8,629,19.957146713770946,160,0.0002628553867375897,0.1490967542248977,OFF,1024
96,PRUNED,28.003274790445964,2026-01-23T22:13:11.472386,2026-01-23T22:13:22.021675,10.549289,{},8,925,33.060914662543944,320,0.0004961198129147739,0.36307681700860617,OFF,1024
97,PRUNED,11.06274873415629,2026-01-23T22:13:22.030177,2026-01-23T22:14:21.433362,59.403185,{},8,999,16.011165962918305,512,0.00017232848247227868,0.3496597168325722,OFF,1024
98,PRUNED,34.39714241027832,2026-01-23T22:14:21.441277,2026-01-23T22:14:38.153379,16.712102,{},8,961,42.66081492200738,128,0.0006267955326201202,0.3724302668111004,OFF,1024
99,PRUNED,46.63982677459717,2026-01-23T22:14:38.165058,2026-01-23T22:14:48.362181,10.197123,{},64,853,48.800305777399764,256,0.005514672285668628,0.38791346272018223,OFF,1024
100,PRUNED,21.833033752441406,2026-01-23T22:14:48.372692,2026-01-23T22:14:59.750321,11.377629,{},48,693,17.72095770492815,320,0.0008291326121043631,0.39616354884211846,ON,2048
101,COMPLETE,7.87258783976237,2026-01-23T22:14:59.758909,2026-01-23T22:26:46.906028,707.147119,"{""best_epoch"": 197, ""effective_batch_size"": 8, ""output_dir"": ""./outputs/2026-01-23/22-14-59""}",8,949,16.912757121276027,320,0.0003283275121568394,0.38918829887151546,OFF,1024
102,PRUNED,18.206089719136557,2026-01-23T22:26:46.923179,2026-01-23T22:26:56.405299,9.48212,{},8,909,16.770260138418113,320,0.0003673156608699169,0.25940162656867477,OFF,1024
103,PRUNED,16.93030687967936,2026-01-23T22:26:56.413833,2026-01-23T22:27:05.938700,9.524867,{},8,940,18.524817390530675,320,0.001308956445639297,0.3792572940907034,OFF,1024
104,PRUNED,49.217309188842776,2026-01-23T22:27:05.947285,2026-01-23T22:27:15.523414,9.576129,{},8,979,61.80778970160267,320,0.0011250691963873988,0.3659004235025282,OFF,1024
105,PRUNED,14.753280448913575,2026-01-23T22:27:15.532048,2026-01-23T22:27:44.929881,29.397833,{},8,898,17.204357270436194,320,0.002733536817338385,0.38701783797010747,OFF,1024
106,PRUNED,18.24677740732829,2026-01-23T22:27:44.938856,2026-01-23T22:27:52.417951,7.479095,{},8,827,19.60185845401034,320,0.00028422041300110154,0.3736394157364477,OFF,512
107,PRUNED,20.774724006652832,2026-01-23T22:27:52.426327,2026-01-23T22:28:01.191106,8.764779,{},32,800,16.57704292787971,320,0.0002542294343585051,0.3973444836682798,OFF,1024
108,PRUNED,15.740281136830648,2026-01-23T22:28:01.200398,2026-01-23T22:28:26.436430,25.236032,{},8,923,17.79124821442945,320,0.0009638347238935113,0.3797061925858561,OFF,1024
109,PRUNED,17.777933883666993,2026-01-23T22:28:26.444838,2026-01-23T22:28:36.240555,9.795717,{},8,952,18.86692745003629,320,0.000433918711720152,0.36084551020979266,OFF,1024
110,PRUNED,21.9348264058431,2026-01-23T22:28:36.248348,2026-01-23T22:28:45.484421,9.236073,{},16,95,20.074009997166293,320,0.0015851623970112407,0.33930600762491375,OFF,1024
